experiment,length,size,n_seeds,proposed_wins,abc_only_wins,delta_fitness_mean,delta_fitness_std,delta_fitness_min,delta_fitness_max,delta_avg_hamming_mean,delta_avg_hamming_std,delta_avg_hamming_min,delta_avg_hamming_max
L12_N64,12,64,3,3,0,0.0011879369007587275,0.0010303589294394764,1.3519707823039795e-05,0.0019400627982548713,0.009259259259259522,0.002446866499164849,0.006448412698413009,0.010912698412699484
L12_N96,12,96,3,2,1,0.0004011651863532843,0.0011323315693577418,-0.0008554351605329913,0.001342341468053565,0.012792397660819669,0.007093657043250786,0.004605263157895223,0.01710526315789629
L12_N128,12,128,3,3,0,0.3331073499358867,0.0006907540027122181,0.3323122819051276,0.3335600311371567,0.006930774278215424,0.0011431561568867443,0.006151574803149984,0.008243110236220375
L16_N64,16,64,3,3,0,0.0010738106603135715,0.00029213751939322844,0.0007376106104346469,0.0012658162302852105,0.026124338624338012,0.01570419064735486,0.011408730158729341,0.04265873015872934
L16_N96,16,96,3,1,2,9.778411968882257e-05,0.0007018268993782335,-0.0004966829397932138,0.0008720057866868913,0.006432748538011642,0.010239920962957203,-0.0015350877192989998,0.0179824561403521
