experiment,length,size,method,n_seeds,fitness_mean,fitness_std,fitness_min,fitness_max,min_hamming_mean,min_hamming_std,min_hamming_min,min_hamming_max,avg_hamming_mean,avg_hamming_std,avg_hamming_min,avg_hamming_max,kmer_entropy_mean,kmer_entropy_std,kmer_entropy_min,kmer_entropy_max,collision_pairs_radius1_mean,collision_pairs_radius1_std,collision_pairs_radius1_min,collision_pairs_radius1_max,duplicate_count_mean,duplicate_count_std,duplicate_count_min,duplicate_count_max,valid_gc_fraction_mean,valid_gc_fraction_std,valid_gc_fraction_min,valid_gc_fraction_max,valid_hp_fraction_mean,valid_hp_fraction_std,valid_hp_fraction_min,valid_hp_fraction_max,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_min,runtime_seconds_max
L12_N64,12,64,Greedy constrained,3,3.3669241453382077,0.19250456051429396,3.2554353424844322,3.5892089050794556,6.333333333333333,0.5773502691896257,6.0,7.0,9.130787037037038,0.0015945189750315412,9.128968253968255,9.131944444444445,0.9898282289480203,0.0008225224149192308,0.9888799442281239,0.9903483081184018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.06460436185201,0.13367529214075347,4.951099634170532,5.211946964263916
L12_N64,12,64,Random constrained,3,2.242488904438254,0.3335151324839105,1.905686238031227,2.5726162915774213,3.0,1.0,2.0,4.0,9.013392857142858,0.037649430375289915,8.978174603174603,9.053075396825397,0.9840684173421163,0.004763724852306028,0.9805193014592796,0.9894824679413271,0.3333333333333333,0.5773502691896258,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.010964234670003256,0.005252867224594166,0.005265951156616211,0.015613317489624023
L12_N128,12,128,Greedy constrained,3,3.2524388458530966,0.0003159990068315581,3.2521439370650436,3.2527723835009783,6.0,0.0,6.0,6.0,9.069676837270341,7.103226737075473e-05,9.069635826771654,9.069758858267717,0.9932648854944695,0.0006416042400285768,0.9926613977521347,0.9939387958733473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,17.28007483482361,0.31894048517062384,16.975836277008057,17.61192226409912
L12_N128,12,128,Random constrained,3,2.0223239788730636,0.19247914576628597,1.910271136347752,2.244577178713713,2.3333333333333335,0.5773502691896257,2.0,3.0,9.000451115485564,0.0037667199813656246,8.996186023622048,9.0033218503937,0.9900014682448146,0.0021959168418967476,0.9886238015668954,0.9925338244802795,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.01050106684366862,0.0005974056640775071,0.00996255874633789,0.011143684387207031
L16_N64,16,64,Greedy constrained,3,3.5071052989890568,0.00044334818845152217,3.506687875383598,3.5075706735401693,9.0,0.0,9.0,9.0,12.183035714285714,0.0004960317460316332,12.182539682539682,12.183531746031745,0.9913311336923991,0.0008523018956226781,0.990496286481481,0.9921998788263705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.607849756876628,0.12072481230785836,5.520102500915527,5.745530605316162
L16_N64,16,64,Random constrained,3,2.579278408442113,0.1464928469528628,2.492084876579075,2.7484065258731354,5.333333333333333,0.5773502691896257,5.0,6.0,12.023809523809524,0.040154068562180185,11.978670634920634,12.055555555555555,0.9889139597413688,0.001801608564178103,0.986835923793071,0.9900373481292094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0031418800354003906,0.005441895852599779,0.0,0.009425640106201172
