experiment,length,size,method,n_seeds,fitness_mean,fitness_std,fitness_min,fitness_max,min_hamming_mean,min_hamming_std,min_hamming_min,min_hamming_max,avg_hamming_mean,avg_hamming_std,avg_hamming_min,avg_hamming_max,kmer_entropy_mean,kmer_entropy_std,kmer_entropy_min,kmer_entropy_max,collision_pairs_radius1_mean,collision_pairs_radius1_std,collision_pairs_radius1_min,collision_pairs_radius1_max,duplicate_count_mean,duplicate_count_std,duplicate_count_min,duplicate_count_max,valid_gc_fraction_mean,valid_gc_fraction_std,valid_gc_fraction_min,valid_gc_fraction_max,valid_hp_fraction_mean,valid_hp_fraction_std,valid_hp_fraction_min,valid_hp_fraction_max,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_min,runtime_seconds_max,candidate_pool_runtime_seconds_mean,candidate_pool_runtime_seconds_std,candidate_pool_runtime_seconds_min,candidate_pool_runtime_seconds_max,total_runtime_seconds_mean,total_runtime_seconds_std,total_runtime_seconds_min,total_runtime_seconds_max
L12_N64,12,64,ABC-only control,3,3.255862740394042,0.0006838524219680685,3.255408707701746,3.256649260869555,6.0,0.0,6.0,6.0,9.119708994708994,0.0015154020155273803,9.118055555555555,9.121031746031745,0.9917739816699188,0.0016139192100841757,0.9906454577315348,0.9936225958131851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,13.335915168126425,0.2527282496752826,13.083441495895386,13.588897228240967,0.0,0.0,0.0,0.0,13.335915168126425,0.2527282496752826,13.083441495895386,13.588897228240967
L12_N64,12,64,Reference-free Transformer-generated pool + ABC,3,3.257050677294801,0.0004047020673394361,3.2566627805773782,3.2574703154090803,6.0,0.0,6.0,6.0,9.128968253968253,0.002761787878388237,9.126488095238095,9.131944444444445,0.9926066455948932,0.0010868695628238024,0.9919135241177196,0.9938592816118114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,37.46434497833252,2.344845988027159,34.759156227111816,38.915772914886475,47.51357467969259,1.0057814739219775,46.680275440216064,48.630799531936646,84.9779196580251,2.802638914185351,81.98880529403687,87.54657244682312
L12_N96,12,96,ABC-only control,3,3.2536243986989217,0.00044783953108871625,3.2532344679259353,3.2541135166645545,6.0,0.0,6.0,6.0,9.07858187134503,0.005828274638970456,9.075,9.08530701754386,0.9941518188403388,0.0014195367512068247,0.9928325867552417,0.9956539339139043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,30.494329690933228,1.487461202080567,29.40945029258728,32.18994688987732,0.0,0.0,0.0,0.0,30.494329690933228,1.487461202080567,29.40945029258728,32.18994688987732
L12_N96,12,96,Reference-free Transformer-generated pool + ABC,3,3.2540255638852753,0.0006854411723326971,3.2532580815040215,3.254576809393989,6.0,0.0,6.0,6.0,9.091374269005849,0.0012661190113807943,9.089912280701755,9.092105263157896,0.992822082936242,0.001442884494011485,0.9911652858150605,0.9938027415949945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,105.26371216773987,9.188785245326208,97.65071535110474,115.47063899040222,75.98795255025227,0.30332780166761625,75.77610087394714,76.33542943000793,181.25166471799216,9.468605799500871,173.5030426979065,191.80606842041016
L12_N128,12,128,ABC-only control,3,2.9196864370060904,0.0001433439468027565,2.9195285071712735,2.9198083101108416,5.0,0.0,5.0,5.0,9.061023622047244,0.0012844865291471673,9.060162401574804,9.0625,0.9958689370043066,0.0004981185562549566,0.9953070143425471,0.9962562199592164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,50.36635375022888,0.44168426445911085,50.004703521728516,50.85861396789551,0.0,0.0,0.0,0.0,50.36635375022888,0.44168426445911085,50.004703521728516,50.85861396789551
L12_N128,12,128,Reference-free Transformer-generated pool + ABC,3,3.252793786941977,0.000825411104801391,3.251840789076401,3.2532825248733124,6.0,0.0,6.0,6.0,9.06795439632546,0.001002033441836273,9.066806102362206,9.06865157480315,0.994261841163044,0.001758361364045406,0.9922396490189437,0.9954306993529237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,223.4111004670461,4.611788258591496,218.0921275615692,226.2941632270813,108.20267875989278,0.9327830055219415,107.12858462333679,108.80919146537781,331.6137792269389,4.334032706934534,326.76238775253296,335.1033546924591
L16_N64,16,64,ABC-only control,3,3.505328137227481,0.000935221583205436,3.50470719135481,3.5064037631400917,9.0,0.0,9.0,9.0,12.13971560846561,0.013686641591649965,12.129464285714286,12.155257936507937,0.9931918233967608,0.0005093525089200168,0.9926113073127946,0.9935638786607964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,15.940325498580933,0.3139317785649845,15.578006744384766,16.131333827972412,0.0,0.0,0.0,0.0,15.940325498580933,0.3139317785649845,15.578006744384766,16.131333827972412
L16_N64,16,64,Reference-free Transformer-generated pool + ABC,3,3.5064019478877944,0.0011119999964545487,3.5054448019652447,3.5076217682803126,9.0,0.0,9.0,9.0,12.165839947089946,0.006734593867201393,12.158730158730158,12.172123015873016,0.9920739023893457,0.0020283135518594725,0.9907631698515257,0.9944102032272921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,50.91257627805074,3.8714731219268175,46.442336320877075,53.17963647842407,62.03811248143514,1.450321259854328,60.90567064285278,63.67279648780823,112.95068875948589,4.961543321251176,107.34800696372986,116.7885525226593
L16_N96,16,96,ABC-only control,3,3.2544731766171413,0.000492849359702033,3.253908320558757,3.254815635607832,8.0,0.0,8.0,8.0,12.10438596491228,0.0038235955645099604,12.1,12.10701754385965,0.9958981076202476,0.0005077729647180475,0.995316641117514,0.9962540782332076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,35.99574518203735,1.0297444194011605,34.86976361274719,36.88964033126831,0.0,0.0,0.0,0.0,35.99574518203735,1.0297444194011605,34.86976361274719,36.88964033126831
L16_N96,16,96,Reference-free Transformer-generated pool + ABC,3,3.2545709607368303,0.00023362406149216519,3.2543189526680387,3.254780326345444,8.0,0.0,8.0,8.0,12.110818713450293,0.006447268965299394,12.10548245614035,12.117982456140352,0.9952895822923739,0.00041968597730962824,0.9948128456733434,0.9956033028852446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,111.69064664840698,6.25965912922529,106.05903959274292,118.43036198616028,98.98616894086202,4.046132433075637,95.48235082626343,103.41457414627075,210.676815589269,9.720608603408694,204.1206214427948,221.84493613243103
