experiment,length,size,seed,method,fitness,min_hamming,avg_hamming,gc_penalty,homopolymer_penalty,collision_pairs_radius1,duplicate_count,kmer_entropy,valid_gc_fraction,valid_hp_fraction,runtime_seconds,candidate_pool_runtime_seconds,total_runtime_seconds,raw_pool_size,seed_pool_size,filter_sample_size,raw_generated_unique,selected_pool_size,transformer_candidates,random_fill_candidates,transformer_stream_bases,raw_kmer_entropy,selected_kmer_entropy,selected_valid_gc_fraction,selected_valid_hp_fraction,out_dir
L12_N128,12,128,20260430,Reference-free Transformer-generated pool + ABC,3.2532825248733124,6,9.066806102362206,0.0,0.0,0,0,0.9954306993529237,1.0,1.0,226.2941632270813,108.80919146537781,335.1033546924591,1024,512,80,1024,512,614,410,29472,0.9887036686111169,0.9930964008216675,1.0,1.0,matrix_reference_free_transformer_L12_N128_seed_20260430
L16_N64,16,64,20260428,ABC-only control,3.50470719135481,9,12.134424603174603,0.0,0.0,0,0,0.9926113073127946,1.0,1.0,16.11163592338562,0.0,16.11163592338562,512,256,80,512,256,307,205,19648,0.9775258177162022,0.98578239687586,1.0,1.0,matrix_reference_free_transformer_L16_N64_seed_20260428
L16_N64,16,64,20260428,Reference-free Transformer-generated pool + ABC,3.5054448019652447,9,12.158730158730158,0.0,0.0,0,0,0.9910483340892192,1.0,1.0,46.442336320877075,60.90567064285278,107.34800696372986,512,256,80,512,256,307,205,19648,0.9775258177162022,0.98578239687586,1.0,1.0,matrix_reference_free_transformer_L16_N64_seed_20260428
L16_N64,16,64,20260429,ABC-only control,3.5064037631400917,9,12.155257936507937,0.0,0.0,0,0,0.9934002842166914,1.0,1.0,16.131333827972412,0.0,16.131333827972412,512,256,80,512,256,307,205,19648,0.9918958926448042,0.9942773498063477,1.0,1.0,matrix_reference_free_transformer_L16_N64_seed_20260429
L16_N64,16,64,20260429,Reference-free Transformer-generated pool + ABC,3.5076217682803126,9,12.166666666666666,0.0,0.0,0,0,0.9944102032272921,1.0,1.0,53.115756034851074,63.67279648780823,116.7885525226593,512,256,80,512,256,307,205,19648,0.9918958926448042,0.9942773498063477,1.0,1.0,matrix_reference_free_transformer_L16_N64_seed_20260429
L16_N64,16,64,20260430,ABC-only control,3.504873457187541,9,12.129464285714286,0.0,0.0,0,0,0.9935638786607964,1.0,1.0,15.578006744384766,0.0,15.578006744384766,512,256,80,512,256,307,205,19648,0.989076466971778,0.9912008987326221,1.0,1.0,matrix_reference_free_transformer_L16_N64_seed_20260430
L16_N64,16,64,20260430,Reference-free Transformer-generated pool + ABC,3.5061392734178263,9,12.172123015873016,0.0,0.0,0,0,0.9907631698515257,1.0,1.0,53.17963647842407,61.53587031364441,114.71550679206848,512,256,80,512,256,307,205,19648,0.989076466971778,0.9912008987326221,1.0,1.0,matrix_reference_free_transformer_L16_N64_seed_20260430
L16_N96,16,96,20260428,ABC-only control,3.254815635607832,8,12.10701754385965,0.0,0.0,0,0,0.9962540782332076,1.0,1.0,36.22783160209656,0.0,36.22783160209656,768,384,80,768,384,461,307,29504,0.9787011020672884,0.9875400712510535,1.0,1.0,matrix_reference_free_transformer_L16_N96_seed_20260428
L16_N96,16,96,20260428,Reference-free Transformer-generated pool + ABC,3.2543189526680387,8,12.10548245614035,0.0,0.0,0,0,0.9954525983185336,1.0,1.0,110.58253836631775,95.48235082626343,206.06488919258118,768,384,80,768,384,461,307,29504,0.9787011020672884,0.9875400712510535,1.0,1.0,matrix_reference_free_transformer_L16_N96_seed_20260428
L16_N96,16,96,20260429,ABC-only control,3.253908320558757,8,12.1,0.0,0.0,0,0,0.995316641117514,1.0,1.0,36.88964033126831,0.0,36.88964033126831,768,384,80,768,384,461,307,29504,0.9929598142231318,0.9957821139014781,1.0,1.0,matrix_reference_free_transformer_L16_N96_seed_20260429
L16_N96,16,96,20260429,Reference-free Transformer-generated pool + ABC,3.254780326345444,8,12.117982456140352,0.0,0.0,0,0,0.9948128456733434,1.0,1.0,118.43036198616028,103.41457414627075,221.84493613243103,768,384,80,768,384,461,307,29504,0.9929598142231318,0.9957821139014781,1.0,1.0,matrix_reference_free_transformer_L16_N96_seed_20260429
L16_N96,16,96,20260430,ABC-only control,3.2546955736848355,8,12.106140350877194,0.0,0.0,0,0,0.996123603510021,1.0,1.0,34.86976361274719,0.0,34.86976361274719,768,384,80,768,384,461,307,29504,0.9891912505398112,0.9926990389077567,1.0,1.0,matrix_reference_free_transformer_L16_N96_seed_20260430
L16_N96,16,96,20260430,Reference-free Transformer-generated pool + ABC,3.2546136031970083,8,12.108991228070176,0.0,0.0,0,0,0.9956033028852446,1.0,1.0,106.05903959274292,98.06158185005188,204.1206214427948,768,384,80,768,384,461,307,29504,0.9891912505398112,0.9926990389077567,1.0,1.0,matrix_reference_free_transformer_L16_N96_seed_20260430
