iteration,best_fitness,mean_fitness,current_best_fitness,min_hamming,avg_hamming,collision_pairs_radius1,pool_use_prob
1,2.9205938237023354,2.692254892496608,2.9205938237023354,5,9.10763888888889,0,0.6
2,3.2516020864915958,2.8330506001310023,3.2516020864915958,6,9.089781746031745,0,0.5763157894736842
3,3.2546147926371654,3.000559337057673,3.2546147926371654,6,9.112599206349206,0,0.5526315789473684
4,3.2546147926371654,3.0014468353468797,3.2546147926371654,6,9.112599206349206,0,0.5289473684210526
5,3.255227132494671,3.085216448284333,3.255227132494671,6,9.118055555555555,0,0.5052631578947369
6,3.255227132494671,3.1132820278547197,3.255227132494671,6,9.118055555555555,0,0.48157894736842105
7,3.255227132494671,3.113457656374472,3.255227132494671,6,9.118055555555555,0,0.45789473684210524
8,3.255227132494671,3.1415876988313536,3.255227132494671,6,9.118055555555555,0,0.4342105263157895
9,3.255227132494671,3.19742151165725,3.255227132494671,6,9.118055555555555,0,0.4105263157894737
10,3.255248160573537,3.1420082324822776,3.255248160573537,6,9.114583333333334,0,0.3868421052631579
11,3.255248160573537,3.169800552977421,3.255248160573537,6,9.114583333333334,0,0.3631578947368421
12,3.255248160573537,3.1975250891629146,3.255248160573537,6,9.114583333333334,0,0.3394736842105263
13,3.255248160573537,3.2253865382898605,3.255248160573537,6,9.114583333333334,0,0.31578947368421056
14,3.255248160573537,3.1412305087880945,3.255248160573537,6,9.114583333333334,0,0.29210526315789476
15,3.2553289182792366,3.11339889671638,3.2553289182792366,6,9.105654761904763,0,0.26842105263157895
16,3.2553289182792366,3.0850638973693996,3.2553289182792366,6,9.105654761904763,0,0.24473684210526314
17,3.2553289182792366,3.0566414839636393,3.2553289182792366,6,9.105654761904763,0,0.2210526315789474
18,3.2555302526108254,3.084878218644258,3.2555302526108254,6,9.120039682539682,0,0.19736842105263158
19,3.2555302526108254,3.169123296229493,3.2555302526108254,6,9.120039682539682,0,0.17368421052631583
20,3.2555302526108254,3.084691226270216,3.2555302526108254,6,9.120039682539682,0,0.15000000000000002
